Parameter,Outcome,delta_raw_2800,delta_2800,delta_conf_2800,S1_2800,S1_conf_2800,delta_2800_norm
Solar PV Costs,Shedding Flexibility Capacity 2050,0.08165375269740945,0.08165375269740945,0.006926279927423857,0.0,0.0,0.15450585257747657
Solar PV Potential,Shedding Flexibility Capacity 2050,0.07925053146434742,0.07925053146434742,0.008046014720914381,0.0,0.0,0.13203828834293693
Nuclear Costs,Shedding Flexibility Capacity 2050,0.08017797825771358,0.08017797825771358,0.006860169362357438,0.0,0.0,0.1407089301121603
Nuclear Potential,Shedding Flexibility Capacity 2050,0.07521647647326987,0.07521647647326987,0.005962905592657749,0.0,0.0,0.09432416182358255
Hydrogen Import Potential,Shedding Flexibility Capacity 2050,0.07842560374944102,0.07842560374944102,0.0070813612702530695,0.0,0.0,0.12432609099359151
Hydrogen Import Price,Shedding Flexibility Capacity 2050,0.07777770794484956,0.07777770794484956,0.007298091946427847,0.0,0.0,0.11826895384504851
Biomass Import Potential,Shedding Flexibility Capacity 2050,0.09581268979985928,0.09581268979985928,0.008478258342496171,0.0,0.0,0.28687686547701513
Biomass Import Price,Shedding Flexibility Capacity 2050,0.10122939474227145,0.10122939474227145,0.007698797527298205,0.0,0.0,0.33751729947406817
Ammonia Import Potential,Shedding Flexibility Capacity 2050,0.10706461627577105,0.10706461627577105,0.01030971513511561,0.0,0.0,0.39207041877204807
Ammonia Import Price,Shedding Flexibility Capacity 2050,0.11866145185708049,0.11866145185708049,0.009146355792761107,0.0,0.0,0.5004885056114714
CCS potential,Shedding Flexibility Capacity 2050,0.17209121473398414,0.17209121473398414,0.008108411738488624,0.0,0.0,1.0
Flexibility Costs,Shedding Flexibility Capacity 2050,0.08777003335425172,0.08777003335425172,0.00657360881886233,0.0,0.0,0.21168657595140722
LNG Price,Shedding Flexibility Capacity 2050,0.08396844503630006,0.08396844503630006,0.006587399657167565,0.0,0.0,0.1761457657455871
Electricity Trade Price,Shedding Flexibility Capacity 2050,0.08162319089776496,0.08162319089776496,0.006469032224817153,0.0,0.0,0.15422013223380235
Weather Conditions,Shedding Flexibility Capacity 2050,0.11452422760639808,0.11452422760639808,0.009459212955148278,0.0,0.0,0.4618098561695858
Electricity Trade Ratio,Shedding Flexibility Capacity 2050,0.0774330399673897,0.0774330399673897,0.00853313107471577,0.0,0.0,0.11504667459059074
