kpi,parameter,delta,ci_lo,ci_hi
self_sufficiency,Agriculture neGHG CH4,0.041646816441050304,0.05423511963017444,0.06393705491611149
self_sufficiency,Agriculture neGHG N2O,0.040755360998411025,0.05378347314325586,0.063230777444513
self_sufficiency,Wind offshore Costs,0.0718963302439964,0.0772182411756506,0.08857489208648046
self_sufficiency,Wind offshore Potential,0.05512085133007093,0.0644652444401881,0.07393490595556108
self_sufficiency,Solar PV Costs,0.045135662525794304,0.05707344553202974,0.06605113647614383
self_sufficiency,Solar PV Potential,0.042758181280113175,0.05519433372617711,0.06621073370535223
self_sufficiency,Nuclear Costs,0.11686336839803572,0.11568384326288503,0.12843983126605035
self_sufficiency,Nuclear Potential,0.04892819271106202,0.05909838580303682,0.0677766561527026
self_sufficiency,Hydrogen Import Potential,0.037447803726218816,0.05257876709135637,0.060080684500983736
self_sufficiency,Hydrogen Import Price,0.051644725822975114,0.06310344252967019,0.07273225480014595
self_sufficiency,Biomass Import Potential,0.06689080336315106,0.07423196007106549,0.08537425027003602
self_sufficiency,Biomass Import Price,0.09939745011983371,0.1022414266927194,0.11353620802909183
self_sufficiency,Ammonia Import Potential,0.053923470335366076,0.060938036087142586,0.07064655836578634
self_sufficiency,Ammonia Import Price,0.048981223007710836,0.05954170827482394,0.07108696405288008
self_sufficiency,CCS potential,0.08228586173456798,0.08623799750069784,0.09965621971718311
self_sufficiency,Flexibility Costs,0.04355668383889654,0.05507746035483129,0.06311520038477968
self_sufficiency,LNG Price,0.036750001033790516,0.05011287785299082,0.05983081500410112
self_sufficiency,Electricity Trade Price,0.04512629337707872,0.05560953990842192,0.06462970966871893
self_sufficiency,Weather Conditions,0.10136885984540056,0.10373370666071868,0.11398398578511026
self_sufficiency,Electricity Trade Ratio,0.1663162515376834,0.16403557670247035,0.1756701740429415
self_sufficiency,Electricity Trade Volume,0.1784359289326569,0.17661862335764067,0.1894538186867575
self_sufficiency,WACC,0.05878742022006852,0.0649190957165349,0.07962368225094998
self_sufficiency,Bunker Emission Reduction,0.04188570843250938,0.053444457236699404,0.06322483759775402
self_sufficiency,End-of-Life Emission Reduction,0.04340400866367472,0.05773809127350002,0.06463668164586228
gas_import_share,CO2 Cap,0.09711358571459552,0.09895199188227805,0.11275572231842335
gas_import_share,Buildings demand,0.050803794239254574,0.06172178797768457,0.07027198900641396
gas_import_share,Steel Production,0.042802739771761,0.05215033235350915,0.06329887703502043
gas_import_share,Chemical Production,0.04511340232960624,0.05541230677643687,0.06530854160900817
gas_import_share,Passenger Cars,0.0393055871539523,0.051583340585959175,0.062041166673826885
gas_import_share,Bunker aviation,0.03956467541283963,0.05253843814428065,0.06250411544783598
gas_import_share,Bunker navigation,0.04331393740382766,0.05342493122209507,0.06399182894278505
gas_import_share,Agriculture neGHG CH4,0.06577695564439617,0.07183562824846992,0.08105949732601848
gas_import_share,Agriculture neGHG N2O,0.045229927477809635,0.054879754144561615,0.06501854382432715
gas_import_share,Wind offshore Costs,0.03950728129077836,0.05285846318697676,0.06201844710259006
gas_import_share,Wind offshore Potential,0.036864893320419194,0.05023480137909903,0.05958556471105155
gas_import_share,Solar PV Costs,0.04049540429282666,0.052125978894970636,0.061071223844336046
gas_import_share,Solar PV Potential,0.036311427197218776,0.050126029375964075,0.05871675727922245
gas_import_share,Nuclear Costs,0.05540578408714488,0.0639293773580935,0.07283337803207796
gas_import_share,Nuclear Potential,0.035082488780226705,0.0493234885654274,0.05941308674964891
gas_import_share,Hydrogen Import Potential,0.0382148391529288,0.05362854511459495,0.06056049369990789
gas_import_share,Hydrogen Import Price,0.041757236507761385,0.05395407204297956,0.06377232504460212
gas_import_share,Biomass Import Potential,0.04130702970420208,0.054060283511482704,0.0625448443547817
gas_import_share,Biomass Import Price,0.04326408160288122,0.054632186954767334,0.06367790845992281
gas_import_share,Ammonia Import Potential,0.042489008696312204,0.05502643353024534,0.0642657159415343
gas_import_share,Ammonia Import Price,0.037950804971324206,0.05106603178447812,0.059902476123404345
gas_import_share,CCS potential,0.41734963495002536,0.4137287270226879,0.42307341356630496
gas_import_share,Flexibility Costs,0.036559285313571985,0.04925556220815355,0.05779655619473061
gas_import_share,LNG Price,0.05100472437310944,0.05836035555511186,0.0699570476346943
gas_import_share,Electricity Trade Price,0.04137044978085096,0.05368165544798815,0.06180276015853111
gas_import_share,Weather Conditions,0.041489142737017835,0.05304247193825698,0.062220663798946196
gas_import_share,Electricity Trade Ratio,0.07624796592668513,0.08096395066544437,0.09039425886401804
gas_import_share,Electricity Trade Volume,0.038598714446424646,0.05191743564727733,0.06134685206712144
gas_import_share,WACC,0.04087342572123309,0.05484637404121237,0.063618048941524
gas_import_share,Bunker Emission Reduction,0.06024448449678918,0.06721435439949054,0.08099289712436608
gas_import_share,End-of-Life Emission Reduction,0.08865753225873693,0.09248954332833623,0.10512820801365398
import_concentration_hhi,CO2 Cap,0.07808480754243133,0.0822515427919538,0.09222668142271433
import_concentration_hhi,Buildings demand,0.04375885622406355,0.054632919072471246,0.06485794599402461
import_concentration_hhi,Steel Production,0.04328456061930838,0.05495936555939223,0.06340521011391755
import_concentration_hhi,Chemical Production,0.046586693509914616,0.05728886108214075,0.06672404462413434
