kpi,parameter,mu_star,sigma,n_eff
import_concentration_hhi,Passenger Cars,0.001285916150349306,0.002896504741880779,94
import_concentration_hhi,Bunker aviation,0.015525478638411035,0.018745734810170608,98
import_concentration_hhi,Bunker navigation,0.049768366351697124,0.07419720804123593,102
import_concentration_hhi,Agriculture neGHG CH4,0.03178564152337134,0.04211274719297354,101
import_concentration_hhi,Agriculture neGHG N2O,0.01392994760782888,0.015558757565897096,105
import_concentration_hhi,Wind offshore Costs,0.028689714964125,0.05550677277573255,104
import_concentration_hhi,Wind offshore Potential,0.027282525558080174,0.07929158876056441,85
import_concentration_hhi,Solar PV Costs,0.006636315688089935,0.016948339366340534,97
import_concentration_hhi,Solar PV Potential,0.006107682708659228,0.020528293144525436,88
import_concentration_hhi,Nuclear Costs,0.1518996145834158,0.21278462313599636,84
import_concentration_hhi,Nuclear Potential,0.04767818251313746,0.07718187753445425,84
import_concentration_hhi,Hydrogen Import Potential,0.02365716082305873,0.04788697280262605,86
import_concentration_hhi,Hydrogen Import Price,0.03642443440150914,0.0671535760625856,111
import_concentration_hhi,Biomass Import Potential,0.041602409859240366,0.07329416820566756,103
import_concentration_hhi,Biomass Import Price,0.05111959548920479,0.10520854372741228,95
import_concentration_hhi,Ammonia Import Potential,0.06323446002816403,0.10070666964815728,94
import_concentration_hhi,Ammonia Import Price,0.04475839002305929,0.07329663307999529,90
import_concentration_hhi,CCS potential,0.1774083011799757,0.12360882270586847,83
import_concentration_hhi,Flexibility Costs,0.0016361170632070998,0.0048541707123638395,81
import_concentration_hhi,LNG Price,0.0034485597820727953,0.008790341757035148,125
import_concentration_hhi,Electricity Trade Price,0.011103842292312613,0.023470700898851043,123
import_concentration_hhi,Weather Conditions,0.10494273651897455,0.1869312589578645,116
import_concentration_hhi,Electricity Trade Ratio,0.03454275141236175,0.06883711983638599,87
import_concentration_hhi,Electricity Trade Volume,0.04789487176401079,0.08140679155490561,95
import_concentration_hhi,WACC,0.03563493674558759,0.05307900439654911,103
import_concentration_hhi,Bunker Emission Reduction,0.05542034706028996,0.05476914744151321,83
import_concentration_hhi,End-of-Life Emission Reduction,0.05767514996421101,0.09385460107363643,89
net_elec_imports,CO2 Cap,6.3821960065210686,15.482432210591183,103
net_elec_imports,Buildings demand,11.685206069562167,23.67585494786251,79
net_elec_imports,Steel Production,2.835974054496028,11.885388788740542,86
net_elec_imports,Chemical Production,14.0269198516656,40.52751737650754,97
net_elec_imports,Passenger Cars,1.111655662220567,2.4204250508110285,94
net_elec_imports,Bunker aviation,2.539673667136015,7.440614177061926,98
net_elec_imports,Bunker navigation,8.636724397739684,22.59614551242663,102
net_elec_imports,Agriculture neGHG CH4,3.8343485617259665,9.481640580622734,101
net_elec_imports,Agriculture neGHG N2O,2.6105606262160754,8.108139733821503,105
net_elec_imports,Wind offshore Costs,18.033144013108465,53.30220666747058,104
net_elec_imports,Wind offshore Potential,22.82684633891619,76.88225252125784,85
net_elec_imports,Solar PV Costs,4.39954059388331,10.185886460801303,97
net_elec_imports,Solar PV Potential,3.066139565777767,7.521409257270695,88
net_elec_imports,Nuclear Costs,17.074787439571583,46.39213003690271,84
net_elec_imports,Nuclear Potential,8.886156649808887,29.20361255091453,84
net_elec_imports,Hydrogen Import Potential,7.748582037261759,29.8601781676017,86
net_elec_imports,Hydrogen Import Price,6.214791156554603,21.329251790675226,111
net_elec_imports,Biomass Import Potential,8.325856558886406,25.76288208999205,103
net_elec_imports,Biomass Import Price,16.165656227372104,41.5423591732002,95
net_elec_imports,Ammonia Import Potential,10.843173838067107,36.29142595542344,94
net_elec_imports,Ammonia Import Price,20.577441948306276,50.88457971724425,90
net_elec_imports,CCS potential,20.72781915323907,47.100090015189366,83
net_elec_imports,Flexibility Costs,2.238997587891937,6.838223805013734,81
net_elec_imports,LNG Price,0.8021921076131109,3.5175436757444563,125
net_elec_imports,Electricity Trade Price,65.60636232929699,117.19043087802457,123
net_elec_imports,Weather Conditions,89.85597642140849,180.3126928840063,116
net_elec_imports,Electricity Trade Ratio,277.6499142813778,325.98735086844806,87
net_elec_imports,Electricity Trade Volume,214.70364697882442,236.1103167212142,95
net_elec_imports,WACC,22.29481092956586,48.58119284842487,103
net_elec_imports,Bunker Emission Reduction,9.974960511327096,19.411031950467947,83
net_elec_imports,End-of-Life Emission Reduction,11.486509020135456,41.344641184670785,89
