Parameter,Outcome,Final_Delta,Max_Delta,Converged_At_Size,Max_Relative_Change,Sample_Sizes_Analyzed,Delta_Trajectory
Electricity Trade Price,Biomass Imports 2050,0.05392775445732351,0.07044467591423326,4000.0,0.8783342445882656,10,"[0.05650951446086053, 0.04775125615018719, 0.05855464967726903, 0.037503802167901626, 0.07044467591423326, 0.06122890069084988, 0.06989044468701403, 0.06774650580128978, 0.05033174488059107, 0.05392775445732351]"
Bunker Emission Reduction,techStocks 2050 EPB01_02,0.05391261101826766,0.08157176376499514,4000.0,0.5111262363554908,10,"[0.08157176376499514, 0.041881405498147964, 0.04086004152938963, 0.0617446807736356, 0.05882676183028547, 0.04795418442723501, 0.05559215902012651, 0.06401421630870777, 0.05169281772219609, 0.05391261101826766]"
LNG Import Price,DR Flexibility Capacity 2050,0.0539107101588488,0.08659754629499844,4000.0,0.7678373080808887,10,"[0.039371540661636784, 0.030319254499662933, 0.04818091465857522, 0.05762047870189017, 0.08659754629499844, 0.06137982707797719, 0.0507183696341997, 0.030573890239404156, 0.0540496638183888, 0.0539107101588488]"
Hydrogen Import Price,techStocks 2050 Hyd03_01,0.05390658527898417,0.07326822400911918,,0.5409626455343658,10,"[0.046734034591679983, 0.04168314527818114, 0.05272338831231472, 0.03905652238468709, 0.0601846420592796, 0.07326822400911918, 0.0690772377423599, 0.0449760696097216, 0.06546020367005129, 0.05390658527898417]"
Nuclear Potential,DR Flexibility Capacity 2050,0.05389129867024928,0.06972867539476954,,0.47466605113583366,10,"[0.04085088009201079, 0.06024140603070899, 0.043026850648269555, 0.053593081895332545, 0.04795341485051718, 0.06972867539476954, 0.05405047801031132, 0.056899789275093635, 0.06164918834305087, 0.05389129867024928]"
Solar PV Potential,DR Flexibility Capacity 2050,0.05379312907353106,0.06714002912163715,,0.4010759969612158,10,"[0.04365412669284014, 0.03820735734428784, 0.04505029427209511, 0.05958902795615972, 0.058921912711800715, 0.06714002912163715, 0.04613849315502369, 0.04660636129975484, 0.06529905412278864, 0.05379312907353106]"
Chemical Production,CO2 Storage 2050,0.053535073358144974,0.058196846844417005,2800.0,1.5927024668280751,10,"[0.022382122096957547, 0.058030183173629, 0.05680068249571626, 0.02157214397209032, 0.04531299617689446, 0.05575183719049171, 0.05345394229660801, 0.058196846844417005, 0.05477820908940946, 0.053535073358144974]"
Electricity Trade Volume,Biomass Imports 2050,0.05328614814565477,0.1098409319675869,,0.3427988204650231,10,"[0.08179999140120485, 0.1098409319675869, 0.07841561644191654, 0.08755993457563592, 0.07486062110989909, 0.06894287458575768, 0.06486795146594454, 0.056710390819273496, 0.07114507586048831, 0.05328614814565477]"
End-of-Life Emission Reduction,Electricity capacity_Carrier_sum 2050 Wind offshore,0.05328289770643911,0.14117359567972282,,0.5041936995663174,10,"[0.14117359567972282, 0.09572902946178859, 0.0852294783233545, 0.06066060807472607, 0.09124530447786464, 0.06939149533824503, 0.08872430242775456, 0.06798308887231005, 0.07087697651571054, 0.05328289770643911]"
CO2 Cap,CO2 Storage 2050,0.05327914154727712,0.10695193675922766,4000.0,1.196535675156224,10,"[0.030499072752633576, 0.06699230136034479, 0.10695193675922766, 0.03944970785177083, 0.0683178486959953, 0.03982523598550071, 0.0583636611169423, 0.04716422080348493, 0.056645415714576916, 0.05327914154727712]"
Ammonia Import Price,Electricity generation_Carrier_sum 2050 Solar PV,0.05325694743976007,0.09928337187034922,,0.40312166796061455,10,"[0.09928337187034922, 0.09072677672816079, 0.08131137325997463, 0.07154169342700006, 0.056720127258518695, 0.07958523956591107, 0.07490207945039802, 0.0681264710689899, 0.06730450180140699, 0.05325694743976007]"
Biomass Import Potential,techStocks 2050 Hyd03_01,0.05324031678534671,0.08226494642973047,,0.363367121750891,10,"[0.072254379397042, 0.08226494642973047, 0.05944158886539164, 0.07426942702141226, 0.04728235909055384, 0.04225703468175263, 0.051653033820154286, 0.049466350734285014, 0.04258963780726347, 0.05324031678534671]"
Passenger Cars,techStocks 2050 EPB01_02,0.05323960848143506,0.08571947295557093,,1.507790795090573,10,"[0.034181269475660164, 0.08571947295557093, 0.06256464642806156, 0.04835919434323941, 0.0654100869039272, 0.0820008425559242, 0.07013906557817577, 0.048812086759177295, 0.046321839696144736, 0.05323960848143506]"
